"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.from.water","Distance.from.cattle","Closest.mob.size","NDVI","EVI","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses"
"6/4/21","1","DSCN2507","3","1102",0.482575779,36.83464424,"PZ","1","full","light","no rain","Walking","hock","brown with some green","Pennisetum stramineum","Enteropogon macrostachyus","Pennisetum mezzianum","Cynodon plectostachyus","light","2127","2202","8","1","1","1","2","1","","","","2","","","","0.00496521","0.00998898","300",0.4559,0.2669,"2021","6","4","11","2","","","","4"
"6/4/21","1","DSCN2509","1","1119",0.482913156,36.84354778,"GZ","0","full","light","no rain","Walking","","brown with some green","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Cenchrus ciliaris","light","2203","2256","6","","6","","","","","","","","","","","0.000342558","0.001790065","300",0.3827,0.2292,"2021","6","4","11","19","Elephant","","","4"
"6/4/21","1","DSCN2509","2","1128",0.470724828,36.84041488,"PZ","0","full","no wind","no rain","Walking","belly","brown with some green","Enteropogon macrostachyus","Cynodon plectostachyus","Cenchrus ciliaris","Pennisetum mezzianum","medium","2257","2260","1","","1","","","","","","","","","","","0.003353027","0.00642754","80",0.4253,0.249,"2021","6","4","11","28","Impala","","","4"
"6/4/21","1","DSCN2509","3","1138",0.47000135,36.83922024,"PZ","1","full","light","no rain","Grazing","belly","green with some brown","Enteropogon macrostachyus","Pennisetum mezzianum","Cenchrus ciliaris","Chloris roxburghiana","medium","2261","2293","7","","","","","","","","","","","","","0.004578341","0.00511569","80",0.4551,0.2701,"2021","6","4","11","38","Impala","","","4"
"6/4/21","1","DSCN2509","3","1138",0.47000135,36.83922024,"GZ","1","full","light","no rain","Grazing","belly","green with some brown","Enteropogon macrostachyus","Pennisetum mezzianum","Cenchrus ciliaris","Chloris roxburghiana","medium","2261","2293","3","","2","","","","1","","","","","","","0.004578341","0.00511569","80",0.4551,0.2701,"2021","6","4","11","38","Impala","","","4"
"6/4/21","1","DSCN2510","1","1148",0.469732218,36.83658387,"PZ","0","full","light","no rain","Walking","belly","green with some brown","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","Chloris roxburghiana","medium","2294","2330","8","1","","1","3","","","","","1","2","","Soing'ash Dam Area ","0.006972524","0.003878054","80",0.4529,0.2731,"2021","6","4","11","48","","","","4"
"6/4/21","1","DSCN2510","2","1203",0.450930767,36.84259335,"PZ","0","full","no wind","no rain","Walking","belly","brown with some green","Themeda triandra","Pennisetum mezzianum","Cynodon plectostachyus","","thick","2331","2348","12","1","4","","1","","","","","","","1","","0.00114117","0.011463853","100",0.3815,0.22,"2021","6","4","12","3","Elephant"," Oryx","","3"
"6/4/21","1","DSCN2510","3","1215",0.466200303,36.84099728,"PZ","0","full","light","no rain","Standing","hock","green with some brown","Pennisetum mezzianum","Cynodon nlemfuensis","Enteropogon macrostachyus","Cenchrus ciliaris","medium","2349","2377","7","1","","1","2","1","","","","1","","1","","0.002660928","0.003913263","100",0.4112,0.2392,"2021","6","4","12","15","","","","4"
"6/4/21","1","DSCN2511","1","1221",0.468424706,36.84108245,"GZ","0","full","light","no rain","Grazing","belly","green with some brown","Pennisetum mezzianum","Pennisetum stramineum","Themeda triandra","Chloris roxburghiana","medium","2378","2393","3","","3","","","","","","","","","","Soing'ash Dam Area ","0.002920207","0.005510052","80",0.4103,0.2404,"2021","6","4","12","21","","","","4"
"6/4/21","1","DSCN2511","2","1227",0.47868424,36.84296581,"GZ","0","full","medium","no rain","Standing","hoof","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","","Microchloa kunthii","light","2394","2402","2","","1","","","","1","","","","","","Soing'ash Dam Area ","0.001474492","0.003190475","300",0.3655,0.2156,"2021","6","4","12","27","Impala","","","3"
