"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.to.mob","Closest.mob.size","Scaled.mob.size"
"6/29/21","1","DSCN0531","3","1044","0.461981143","36.84051746","CC","","full","light","no rain","Grazing","hock","brown","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Microchloa kunthii","","","","180","","","","","","","","","","","","Lokyi","0.002681561","Cattle","2021","6","29","10","44","Elephant ","","","4","OG","OG","OG","4.47730440492242e-08","4.75766170484198e-08","0.2714552","0.3833235","","",""
"6/29/21","1","DSCN0533","1","1144","0.465138546","36.82820459","Cattle","","part","light","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Chloris roxburghiana","Cynodon plectostachyus","Pennisetum mezzianum","medium","","","400","","","","","","","","","","","","Lima 4","0.005902864","Cattle","2021","6","29","11","44","","","","4","OG","OG","OG","2.0906841415978e-08","8.10211854165961e-08","0.2656938","0.3761642","","",""
"6/3/21","2","DSCN2513","1","1020","0.468911959","36.85907079","PZ","0","full","light","no rain","Standing","hock","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","Enteropogon macrostachyus","light","1454","1477","12","1","","","","","","1","","","","","","0.005377905","PZ","2021","6","3","10","20","","","","4","OG","LB","LB","3.24734663821145e-08","4.17695173795112e-08","0.2996323","0.4314738","","",""
"6/3/21","2","DSCN2513","2","1025","0.47077494","36.85956264","GZ","0","full","light","no rain","Walking","hock","green with some brown","Chloris roxburghiana","Cynodon plectostachyus","Enteropogon macrostachyus","Cynodon nlemfuensis","light","1478","1527","14","1","","5","1","","","3","1","2","","","Outside study area","0.003862279","GZ","2021","6","3","10","25","Elephant","","","4","LB","LB","LB","3.52971392009043e-08","4.05300291994646e-08","0.3343181","0.5131887","","",""
"6/3/21","2","DSCN2513","3","1046","0.472146249","36.85981476","PZ","1","full","light","","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Digitaria macroblefara","Pennisetum stramineum","Pennisetum mezzianum","light","1528","1566","23","2","","1","4","","","1","1","2","","","","0.003166762","PZ","2021","6","3","10","46","Impala","","","4","MB","LB","MB","2.94430462002596e-08","4.66984072025321e-08","0.3253074","0.4907264","","",""
"6/3/21","2","DSCN2513","3","1046","0.472146249","36.85981476","GZ","1","full","light","","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Digitaria macroblefara","Pennisetum stramineum","Pennisetum mezzianum","light","1567","1566","3","","2","","","","","","","","","","","0.003166762","GZ","2021","6","3","10","46","Impala","","","4","MB","LB","MB","2.94430462002596e-08","4.66984072025321e-08","0.3253074","0.4907264","","",""
"6/3/21","2","DSCN2514","1","1055","0.476648303","36.85996747","PZ","1","full","light","no rain","Grazing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Enteropogon macrostachyus","light","1567","1602","10","1","","2","3","","","1","1","1","1","","","0.002698877","PZ","2021","6","3","10","55","Impala","","","4","LB","LB","OG","4.9968026509107e-08","6.34600935079688e-08","0.3631369","0.5722157","","",""
"6/3/21","2","DSCN2514","1","1055","0.476648303","36.85996747","GZ","1","full","light","no rain","Grazing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Enteropogon macrostachyus","light","1567","1602","7","1","","1","1","","11","1","1","","","","","0.002698877","GZ","2021","6","3","10","55","Impala","","","4","LB","LB","OG","4.9968026509107e-08","6.34600935079688e-08","0.3631369","0.5722157","","",""
"6/3/21","2","DSCN2514","2","1103","0.478243289","36.8614674","PZ","0","full","light","no rain","Grazing","hock","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","Enteropogon macrostachyus","Enteropogon macrostachyus","light","1603","1624","12","2","2","","7","","","","1","3","2","","","0.001305914","PZ","2021","6","3","11","3","Giraffe","","","4","OG","OG","OG","1.95132457209588e-08","7.72706247211559e-08","0.3459087","0.5532904","","",""
"6/3/21","2","DSCN2514","3","1116","0.470072435","36.86202857","PZ","0","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Pennisetum mezzianum","open grassland","1625","1697","33","3","","8","10","1","","1","3","4","3","","Photos up to 1741, see sheet for additional info","0.002729917","PZ","2021","6","3","11","16","Eland"," Giraffe","","4","MB","OG","MB","2.88489931238593e-08","5.59452081243177e-08","0.2838542","0.3874316","","",""
"6/3/21","2","DSCN2515","1","1126","0.478855584","36.86247627","GZ","0","full","light","no rain","Grazing","hoof","green","Digitaria macroblefara","Pennisetum mezzianum","Pennisetum stramineum","Microchloa kunthii","medium","1698","1787","17","1","2","2","4","2","","1","1","2","2","","","0.000423811","GZ","2021","6","3","11","26","","","","4","OG","OG","LB","3.36381851566602e-08","5.12050111541752e-08","0.3439962","0.5607004","","",""
"6/3/21","2","DSCN2515","2","1137","0.04600112","36.85658199","GZ","0","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Pennisetum mezzianum","Cynodon nlemfuensis","Cyperus","light","1788","1816","5","0","1","","2","","","","","1","1","","","0.208812658","GZ","2021","6","3","11","37","Eland"," Impala","","4","OG","LB","LB","0.132521422083974","0.132521532233175","0.280809","0.4084565","","",""
"6/3/21","2","DSCN2515","3","1148","0.50163067","36.85006329","GZ","0","full","light","no rain","Standing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Microchloa kunthii","medium","1817","1820","1","1","","","","","","","","","","","","0.002762051","GZ","2021","6","3","11","48","Elephant","","","4","LB","LB","LB","5.25216849998867e-08","5.7555865000048e-08","0.2933489","0.4080639","","",""
"6/3/21","2","DSCN2516","1","1158","0.497019943","36.83998142","GZ","0","full","light","no rain","Grazing","hock","green with some brown","Cenchrus ciliaris","Enteropogon macrostachyus","Chloris roxburghiana","Cynodon plectostachyus","light","1821","1891","20","1","","10","","4","4","1","","","","","","0.003993581","GZ","2021","6","3","11","58","Impala","","","4","OG","OG","OG","4.45210188503413e-08","4.61329458491232e-08","0.2885179","0.4447767","","",""
